"selectedUser","currentDate","symbol","coinHoldingQty","coinHoldingValue"
"anbessa100","2017-05-05","mer",0,0
"anbessa100","2017-05-05","xby",0,0
"anbessa100","2017-05-05","insn",0,0
"anbessa100","2017-05-05","crea",0,0
"anbessa100","2017-05-05","zec",0,0
"anbessa100","2017-05-05","wings",0,0
"anbessa100","2017-05-05","lbc",0,0
"anbessa100","2017-05-05","qtum",0,0
"anbessa100","2017-05-05","xel",0,0
"anbessa100","2017-05-05","waves",0,0
"anbessa100","2017-05-05","ant",0,0
"anbessa100","2017-05-05","bay",0,0
"anbessa100","2017-05-05","dct",0,0
"anbessa100","2017-05-05","nmr",0,0
"anbessa100","2017-05-05","xcp",0,0
"anbessa100","2017-05-05","bitb",0,0
"anbessa100","2017-05-05","nxc",0,0
"anbessa100","2017-05-05","cfi",0,0
"anbessa100","2017-05-05","cvc",0,0
"anbessa100","2017-05-05","dgb",0,0
"anbessa100","2017-05-05","pay",0,0
"anbessa100","2017-05-05","qrl",0,0
"anbessa100","2017-05-05","steem",0,0
"anbessa100","2017-05-05","omg",0,0
"anbessa100","2017-05-05","msp",0,0
"anbessa100","2017-05-05","gbyte",0,0
"anbessa100","2017-05-05","sky",0,0
"anbessa100","2017-05-05","sngls",0,0
"anbessa100","2017-05-05","trst",0,0
"anbessa100","2017-05-05","tit",0,0
"anbessa100","2017-05-05","nebl",0,0
"anbessa100","2017-05-05","xzc",0,0
"anbessa100","2017-05-05","mtl",0,0
"anbessa100","2017-05-05","adx",0,0
"anbessa100","2017-05-05","powr",0,0
"anbessa100","2017-05-05","bch",0,0
"anbessa100","2017-05-05","qwark",0,0
"anbessa100","2017-05-05","orme",0,0
"anbessa100","2017-05-05","link",0,0
"anbessa100","2017-05-05","appc",0,0
"anbessa100","2017-05-05","brd",0,0
"anbessa100","2017-05-05","eth",0,0
"anbessa100","2017-05-05","ost",0,0
"anbessa100","2017-05-05","pot",0,0
"anbessa100","2017-05-05","sphtx",0,0
"anbessa100","2017-05-06","nxt",30418.9356657762,1134.2308541698
"anbessa100","2017-05-06","posw",0,0
"anbessa100","2017-05-06","mue",0,0
"anbessa100","2017-05-06","ark",0,0
"anbessa100","2017-05-06","etc",0,0
"anbessa100","2017-05-06","btc",0,0
"anbessa100","2017-05-06","sc",0,0
"anbessa100","2017-05-06","tkn",0,0
"anbessa100","2017-05-06","atms",0,0
"anbessa100","2017-05-06","neo",0,0
"anbessa100","2017-05-06","emd",0,0
"anbessa100","2017-05-06","netko",0,0
"anbessa100","2017-05-06","pivx",0,0
